step,img_per_s,l1,advance,g_loss,lr,grad_norm
100,48.4178,0.190597,0.0423525,1.94832,2.525e-05,4.29284
200,110.111,0.190343,0.0423756,1.9458,7.525e-05,5.42004
300,110.255,0.194372,0.0457527,1.98947,9.99467e-05,5.38106
400,109.75,0.197534,0.0457704,2.02111,9.96242e-05,5.69758
500,109.768,0.195781,0.0445901,2.0024,9.89798e-05,4.71843
600,109.384,0.191658,0.0443429,1.96093,9.80179e-05,4.86272
700,109.677,0.191088,0.0446042,1.95549,9.67451e-05,4.79749
800,109.575,0.196698,0.0448199,2.0118,9.517e-05,nan
900,109.252,0.192449,0.0461322,1.97062,9.33035e-05,5.15866
1000,109.889,0.190397,0.0436554,1.94762,9.11582e-05,4.83282
1000,,,,,,
1100,77.1506,0.190753,0.042989,1.95052,8.87489e-05,4.9166
1200,110.625,0.190424,0.0437857,1.94802,8.60919e-05,4.84822
1300,110.594,0.191252,0.0436972,1.95621,8.32054e-05,4.69215
1400,110.021,0.190334,0.0438136,1.94716,8.01093e-05,4.7658
1500,110.549,0.1906,0.0431955,1.94919,7.68245e-05,4.89661
1600,109.873,0.193932,0.0443312,1.98365,7.33735e-05,nan
1700,109.221,0.191184,0.0432359,1.95508,6.978e-05,4.68801
1800,109.651,0.189047,0.0445921,1.93507,6.60684e-05,4.6128
1900,98.3708,0.189977,0.0434196,1.94319,6.22642e-05,4.65763
2000,109.743,0.190446,0.0444427,1.9489,5.83932e-05,4.34012
2000,,,,,,
2100,78.8377,0.188008,0.0442823,1.92436,5.4482e-05,4.4641
2200,110.145,0.192504,0.0437232,1.96877,5.05572e-05,4.63153
2300,110.107,0.187735,0.0425521,1.9199,4.66458e-05,4.19477
2400,110.071,0.188806,0.0431767,1.93124,4.27743e-05,4.64457
2500,110.441,0.186643,0.0433609,1.9098,3.89692e-05,4.39193
2600,110,0.187599,0.0437737,1.91976,3.52566e-05,4.21976
2700,109.246,0.183638,0.0433427,1.87972,3.16617e-05,4.11304
2800,108.907,0.190798,0.0431301,1.95111,2.82092e-05,4.24421
2900,109.96,0.187795,0.0420019,1.91995,2.49227e-05,4.14981
3000,108.944,0.18961,0.0422099,1.93831,2.18245e-05,4.06045
3000,,,,,,
3100,86.1568,0.187866,0.0431797,1.92184,1.89359e-05,4.36696
3200,109.994,0.184205,0.0417614,1.88381,1.62765e-05,4.29816
3300,110.189,0.185322,0.04346,1.89668,1.38646e-05,4.2432
3400,110.171,0.179934,0.0413114,1.84065,1.17166e-05,3.89438
3500,110.639,0.187501,0.0423913,1.9174,9.8472e-06,3.98785
3600,109.79,0.185255,0.043148,1.8957,8.26916e-06,3.78448
3700,109.759,0.187287,0.0420549,1.91492,6.99326e-06,4.01313
3800,110.429,0.185528,0.0432776,1.89856,6.02822e-06,4.02985
3900,110.112,0.183766,0.0416242,1.87928,5.38063e-06,3.88355
4000,110.002,0.188868,0.0434901,1.93217,5.05491e-06,3.96945
4000,,,,,,
