step,img_per_s,l1,dice,advance,g_loss,lr,grad_norm
100,49.6395,0.191273,0.334809,0.0423133,2.62466,2.525e-05,inf
200,115.41,0.191636,0.331956,0.042354,2.62263,7.525e-05,6.78995
300,112.899,0.196034,0.344127,0.0453069,2.6939,9.99467e-05,6.92594
400,109.625,0.199293,0.343454,0.0456418,2.72548,9.96242e-05,7.15233
500,108.746,0.198244,0.340594,0.0451521,2.70878,9.89798e-05,6.62312
600,109.405,0.1934,0.329466,0.0441234,2.63706,9.80179e-05,6.40357
700,109.349,0.192596,0.337503,0.0443101,2.64527,9.67451e-05,6.39008
800,109.787,0.198487,0.342004,0.0448453,2.71373,9.517e-05,5.89928
900,109.34,0.193962,0.336336,0.0456057,2.6579,9.33035e-05,6.25139
1000,109.58,0.191502,0.340595,0.0432906,2.6395,9.11582e-05,5.64145
1000,,,,,,,
1100,66.5081,0.192703,0.337129,0.0428636,2.64415,8.87489e-05,6.38145
1200,110.006,0.192738,0.33874,0.0439341,2.6488,8.60919e-05,nan
1300,110.16,0.193387,0.337427,0.0439086,2.65263,8.32054e-05,6.17177
1400,109.439,0.192087,0.330068,0.0436736,2.62468,8.01093e-05,5.81025
1500,110.164,0.193657,0.343662,0.0432016,2.6671,7.68245e-05,6.34092
1600,109.996,0.195305,0.338612,0.0441488,2.67443,7.33735e-05,6.19618
1700,109.24,0.192653,0.329575,0.0430437,2.62873,6.978e-05,5.56786
1800,109.377,0.190522,0.332207,0.0445212,2.61416,6.60684e-05,6.28521
1900,104.401,0.191578,0.331997,0.04319,2.62296,6.22642e-05,5.56767
2000,109.466,0.192732,0.335422,0.0446021,2.64276,5.83932e-05,6.04142
2000,,,,,,,
2100,82.7976,0.189783,0.334447,0.043928,2.61065,5.4482e-05,5.43972
2200,109.98,0.193521,0.334992,0.043658,2.64885,5.05572e-05,5.72993
2300,109.622,0.189207,0.326062,0.0425405,2.58673,4.66458e-05,5.20473
2400,109.927,0.190646,0.332263,0.0429533,2.61394,4.27743e-05,6.17891
2500,110.401,0.188095,0.323819,0.0434225,2.57202,3.89692e-05,5.62247
2600,109.879,0.189388,0.330131,0.0435836,2.59772,3.52566e-05,5.32511
2700,109.436,0.185347,0.334032,0.0433978,2.56494,3.16617e-05,5.19824
2800,109.165,0.192487,0.330256,0.0430533,2.62844,2.82092e-05,5.35455
2900,110.107,0.189763,0.331988,0.0419841,2.60359,2.49227e-05,5.10102
3000,108.897,0.19102,0.328811,0.0421451,2.60997,2.18245e-05,4.99271
3000,,,,,,,
3100,85.9043,0.189152,0.331427,0.0430111,2.59739,1.89359e-05,5.28112
3200,109.662,0.18551,0.321843,0.041531,2.54032,1.62765e-05,5.17008
3300,109.843,0.186722,0.332014,0.0433722,2.57463,1.38646e-05,5.26953
3400,109.858,0.18181,0.32891,0.0412572,2.51717,1.17166e-05,4.7963
3500,110.158,0.188874,0.321038,0.0422899,2.5731,9.8472e-06,4.94624
3600,109.415,0.187166,0.327696,0.0431365,2.57019,8.26916e-06,4.67621
3700,109.708,0.188617,0.319471,0.0420331,2.56714,6.99326e-06,4.97148
3800,110.152,0.187085,0.326044,0.0432909,2.56623,6.02822e-06,5.05808
3900,109.461,0.184448,0.313263,0.0415577,2.51257,5.38063e-06,4.80112
4000,109.294,0.191341,0.335694,0.043384,2.62818,5.05491e-06,5.03667
4000,,,,,,,
