step,img_per_s,l1,dice,advance,g_loss,lr,grad_norm
100,48.6291,0.25174,0.42467,0.0542175,3.42096,2.02e-05,nan
200,114.849,0.231828,0.424383,0.0531419,3.22019,6.02e-05,4.34127
300,111.148,0.232006,0.418706,0.0525564,3.21003,0.0001002,4.63267
400,108.323,0.229388,0.4176,0.0547012,3.18378,0.0001402,4.87995
500,109.581,0.234857,0.420408,0.0534769,3.24287,0.0001802,5.15651
600,110.27,0.238451,0.436994,0.055172,3.31367,0.000199994,4.61941
700,109.562,0.232335,0.42539,0.0541304,3.22825,0.000199955,5.06858
800,107.437,0.232633,0.42057,0.0516971,3.21916,0.000199877,5.33875
900,108.815,0.231981,0.417921,0.0533241,3.20898,0.00019976,5.26116
1000,109.657,0.231587,0.41679,0.0534757,3.20292,0.000199604,5.24351
1100,109.08,0.227794,0.41309,0.0522057,3.15633,0.00019941,5.14058
1200,108.94,0.224123,0.409749,0.0528714,3.1136,0.000199176,4.88815
1300,109.753,0.232825,0.418054,0.0538976,3.21825,0.000198904,5.18639
1400,109.138,0.226293,0.412059,0.0538982,3.14094,0.000198594,5.273
1500,110.384,0.227115,0.411035,0.0515496,3.14477,0.000198245,4.92453
1600,109.334,0.232185,0.413294,0.0531483,3.20159,0.000197857,5.83532
1700,109.79,0.228223,0.416845,0.0533882,3.1693,0.000197432,5.53318
1800,109.175,0.225536,0.410486,0.0520043,3.12833,0.000196968,4.99476
1900,109.195,0.22376,0.40672,0.0526616,3.10371,0.000196467,4.80573
2000,84.1761,0.232534,0.404503,0.051589,3.18594,0.000195928,4.81453
2000,,,,,,,
2100,67.7392,0.224948,0.410305,0.0540265,3.12412,0.000195352,5.16135
2200,109.745,0.224118,0.407284,0.0518601,3.1076,0.000194738,5.18232
2300,110.412,0.222132,0.401312,0.0501883,3.07413,0.000194088,nan
2400,109.458,0.224888,0.407307,0.0529185,3.11642,0.000193401,5.20679
2500,109.777,0.221516,0.407163,0.0506183,3.0801,0.000192678,5.05587
2600,109.923,0.226904,0.410303,0.0516786,3.14133,0.000191919,4.84701
2700,110.229,0.224478,0.406488,0.0507571,3.10851,0.000191124,5.05569
2800,108.788,0.222282,0.411222,0.0519694,3.09724,0.000190294,5.0325
2900,109.47,0.220819,0.403789,0.0495891,3.06536,0.000189429,4.94695
3000,109.774,0.221044,0.409724,0.050076,3.07996,0.000188529,4.89154
3100,108.826,0.218597,0.393137,0.0505845,3.02283,0.000187595,5.10158
3200,109.872,0.219536,0.395749,0.0517686,3.03863,0.000186627,5.09547
3300,109.456,0.21889,0.398505,0.0503734,3.03629,0.000185625,5.23438
3400,109.374,0.218566,0.390628,0.0505218,3.01744,0.00018459,5.03135
3500,109.767,0.219236,0.394175,0.0513209,3.03203,0.000183523,4.99868
3600,110.941,0.221007,0.397439,0.0508933,3.05584,0.000182423,5.48964
3700,108.762,0.219864,0.396092,0.0497336,3.04056,0.000181291,4.99461
3800,109.849,0.217499,0.391822,0.0514718,3.01011,0.000180128,4.6367
3900,110.327,0.220034,0.3909,0.0498169,3.03195,0.000178935,5.12387
4000,109.424,0.216711,0.388087,0.0488625,2.99215,0.00017771,5.12677
4000,,,,,,,
4100,64.1731,0.220734,0.396369,0.0517339,3.05181,0.000176456,5.31902
4200,108.21,0.21722,0.384505,0.050004,2.99121,0.000175173,5.56688
4300,110.331,0.214378,0.378651,0.0468625,2.94795,0.000173861,5.21594
4400,109.616,0.218955,0.392068,0.0517495,3.02543,0.00017252,nan
4500,109.817,0.219114,0.381489,0.0494375,3.00355,0.000171152,nan
4600,93.727,0.219169,0.382038,0.0473778,3.00314,0.000169757,5.52547
4700,109.081,0.212749,0.383286,0.0496692,2.94373,0.000168335,5.00012
4800,109.684,0.214324,0.375411,0.0474311,2.94149,0.000166887,5.44992
4900,109.32,0.217147,0.384248,0.0486216,2.98858,0.000165413,5.19874
5000,109.095,0.214095,0.381636,0.0482301,2.95245,0.000163915,5.33925
5100,109.681,0.213633,0.391259,0.0477936,2.96664,0.000162392,4.95625
5200,109.658,0.212602,0.374676,0.0475824,2.92295,0.000160846,4.97127
5300,109.462,0.217503,0.384568,0.04905,2.99321,0.000159277,5.29008
5400,109.32,0.215497,0.373267,0.0486753,2.95018,0.000157686,5.09627
5500,110.177,0.217377,0.384392,0.0496476,2.9922,0.000156073,5.08477
5600,110.311,0.216575,0.382408,0.049923,2.98049,0.000154439,5.07644
5700,110.076,0.211089,0.371914,0.0484531,2.90317,0.000152785,5.23434
5800,109.328,0.215183,0.378032,0.0461911,2.95408,0.000151111,4.76614
5900,109.782,0.212315,0.374409,0.0474477,2.91941,0.000149419,5.09617
6000,110.096,0.209284,0.373047,0.0480525,2.88699,0.000147708,5.22374
6000,,,,,,,
6100,59.6114,0.210212,0.370157,0.0481176,2.89055,0.000145979,4.92222
6200,108.393,0.215868,0.386783,0.050198,2.98245,0.000144234,4.89199
6300,109.914,0.207327,0.375904,0.046856,2.87193,0.000142472,5.38548
6400,109.259,0.213138,0.380149,0.0503711,2.94205,0.000140695,5.37005
6500,108.793,0.215171,0.372443,0.0482057,2.9448,0.000138904,5.77186
6600,110.118,0.209425,0.372772,0.0477635,2.88756,0.000137098,5.5776
6700,110.287,0.211734,0.36514,0.0489921,2.89661,0.000135279,5.55483
6800,108.969,0.209623,0.367587,0.046913,2.87832,0.000133448,5.19195
6900,109.986,0.209464,0.366214,0.0480467,2.87512,0.000131605,5.51151
7000,108.728,0.210902,0.372535,0.0461899,2.90028,0.000129752,5.49633
7100,109.791,0.207615,0.371057,0.0469479,2.86521,0.000127888,5.38937
7200,109.708,0.208366,0.365776,0.0476581,2.86287,0.000126014,5.32418
7300,109.79,0.208264,0.368581,0.0479828,2.86778,0.000124132,5.00372
7400,109.474,0.211527,0.371544,0.0483952,2.90676,0.000122243,5.39544
7500,110.327,0.204064,0.364437,0.0466887,2.81621,0.000120346,4.63978
7600,108.786,0.206339,0.367634,0.0457398,2.8444,0.000118443,5.02901
7700,109.404,0.208138,0.378368,0.0459811,2.8841,0.000116534,5.16085
7800,108.62,0.206382,0.366784,0.04687,2.84426,0.00011462,4.93768
7900,110.232,0.207347,0.364654,0.0452134,2.84799,0.000112703,4.89076
8000,109.614,0.203075,0.363278,0.0462027,2.80351,0.000110782,5.43206
8000,,,,,,,
8100,64.6031,0.20636,0.366004,0.0479618,2.84357,0.000108859,5.09766
8200,108.911,0.206575,0.366572,0.0460111,2.8449,0.000106935,5.36131
8300,109.606,0.199527,0.365243,0.0452387,2.771,0.00010501,5.24681
8400,109.165,0.204861,0.357617,0.0461089,2.80996,0.000103084,5.18336
8500,108.925,0.201415,0.363173,0.0450762,2.78557,0.00010116,nan
8600,109.077,0.201622,0.357627,0.0464397,2.77791,9.92368e-05,4.70362
8700,109.664,0.199505,0.359884,0.0447998,2.75961,9.73162e-05,5.0594
8800,109.576,0.203393,0.361561,0.0463671,2.80342,9.53988e-05,5.36401
8900,109.439,0.201638,0.36112,0.0454676,2.78408,9.34853e-05,5.31703
9000,109.61,0.205164,0.375061,0.0478384,2.8496,9.15765e-05,5.81648
9100,109.817,0.20372,0.362382,0.0458211,2.80778,8.96732e-05,5.40072
9200,109.693,0.202525,0.359543,0.0460086,2.79034,8.77763e-05,5.10327
9300,109.317,0.205453,0.356878,0.0465094,2.8148,8.58864e-05,5.06032
9400,109.446,0.202938,0.3584,0.0454194,2.7916,8.40044e-05,5.27064
9500,109.381,0.204048,0.361005,0.0448377,2.80732,8.2131e-05,5.64267
9600,109.299,0.205562,0.361574,0.047129,2.8259,8.0267e-05,5.83748
9700,109.045,0.202613,0.350551,0.0457294,2.77296,7.84131e-05,5.80263
9800,109.585,0.200412,0.357161,0.0459555,2.7644,7.65702e-05,4.86943
9900,109.844,0.201228,0.355141,0.0455081,2.76808,7.47389e-05,5.11776
10000,109.475,0.204202,0.352641,0.046239,2.79354,7.29201e-05,5.4537
10000,,,,,,,
10100,63.8265,0.201087,0.3466,0.0453049,2.74938,7.11145e-05,5.21587
10200,108.167,0.202062,0.354002,0.0458097,2.77443,6.93227e-05,5.21634
10300,109.7,0.201531,0.357321,0.0458171,2.77577,6.75457e-05,4.76021
10400,110.051,0.20127,0.353808,0.0433084,2.76362,6.5784e-05,4.90464
10500,109.368,0.199954,0.354342,0.0448758,2.7531,6.40384e-05,5.39112
10600,108.893,0.199991,0.358618,0.0445152,2.76166,6.23097e-05,nan
