step,img_per_s,l1,dice,advance,g_loss,lr,grad_norm
100,48.9915,0.197249,0.344472,0.0431494,2.70458,1.68333e-05,4.67398
200,110.39,0.197006,0.342204,0.0429114,2.69738,5.01667e-05,nan
300,102.829,0.201469,0.354098,0.0456997,2.76859,8.35e-05,5.93681
400,103.764,0.207333,0.358129,0.0466217,2.83621,9.99959e-05,6.3338
500,106.169,0.205977,0.354469,0.0456921,2.8144,9.9971e-05,5.7402
600,104.061,0.202485,0.345612,0.0453895,2.76146,9.99212e-05,5.78264
700,105.123,0.201395,0.352832,0.0454611,2.76507,9.98465e-05,6.00674
800,105.469,0.206221,0.355216,0.0458125,2.81845,9.97469e-05,5.30996
900,104.46,0.202329,0.351062,0.0474183,2.77284,9.96224e-05,5.82385
1000,104.811,0.199876,0.355222,0.044588,2.7538,9.94731e-05,5.36388
1100,104.807,0.199979,0.351552,0.0437893,2.74669,9.92991e-05,5.76833
1200,105.949,0.20072,0.354197,0.0452932,2.76088,9.91006e-05,5.62761
1300,105.649,0.202386,0.353552,0.0449565,2.77592,9.88775e-05,5.81569
1400,105.413,0.201096,0.345983,0.0450584,2.74799,9.863e-05,nan
1500,106.054,0.202057,0.359012,0.0446561,2.78325,9.83583e-05,5.95912
1600,105.319,0.204108,0.353844,0.0456338,2.79441,9.80625e-05,5.12711
1700,105.19,0.202822,0.347896,0.0450124,2.76902,9.77427e-05,5.31144
1800,105.261,0.200291,0.350007,0.0460338,2.74896,9.73991e-05,5.84629
1900,101.053,0.201459,0.350362,0.0451543,2.76047,9.70319e-05,5.44815
2000,104.949,0.201936,0.352327,0.0465694,2.77059,9.66413e-05,5.69032
2000,,,,,,,
2100,67.8127,0.20018,0.353603,0.0467661,2.75578,9.62275e-05,5.69303
2200,105.432,0.206041,0.356354,0.0451661,2.81828,9.57907e-05,5.87047
2300,105.513,0.20275,0.34873,0.0446116,2.76957,9.53311e-05,5.53224
2400,104.729,0.202771,0.35322,0.0448126,2.77897,9.4849e-05,6.33364
2500,105.556,0.200484,0.345621,0.045622,2.74171,9.43447e-05,5.90811
2600,105.567,0.201382,0.350175,0.045487,2.75966,9.38183e-05,5.26791
2700,104.621,0.197788,0.355509,0.0458574,2.73475,9.32702e-05,6.18866
2800,76.3882,0.204257,0.350318,0.0450099,2.78821,9.27007e-05,5.0452
2900,98.9183,0.202951,0.354546,0.0443456,2.78295,9.211e-05,5.96901
3000,104.166,0.204212,0.350867,0.0446297,2.78849,9.14986e-05,5.53227
3100,103.868,0.202611,0.353573,0.0459455,2.7792,9.08666e-05,5.87093
3200,105.212,0.19943,0.346411,0.044304,2.73142,9.02144e-05,5.60474
3300,105.161,0.200065,0.354515,0.0456904,2.75537,8.95424e-05,5.28648
3400,105.029,0.196244,0.352301,0.0438958,2.71094,8.88509e-05,6.05391
3500,105.728,0.203458,0.345675,0.0454555,2.77139,8.81403e-05,5.69348
3600,104.849,0.20151,0.351866,0.0461521,2.76498,8.7411e-05,5.40521
3700,105.108,0.202037,0.342168,0.0442874,2.749,8.66633e-05,5.94187
3800,105.431,0.200819,0.34768,0.0455927,2.74914,8.58976e-05,nan
3900,104.926,0.198933,0.337448,0.0442024,2.70843,8.51144e-05,5.7315
4000,83.7338,0.204444,0.358328,0.0461682,2.80727,8.4314e-05,5.49857
4000,,,,,,,
4100,64.2594,0.201985,0.352556,0.0471949,2.77216,8.34969e-05,5.53235
4200,106.917,0.199225,0.344833,0.0446702,2.72658,8.26635e-05,5.45058
4300,106.147,0.199544,0.347082,0.0443304,2.73394,8.18143e-05,5.94355
4400,89.2771,0.200556,0.34941,0.0468354,2.75121,8.09496e-05,6.00255
4500,106.278,0.197487,0.342165,0.0445881,2.70378,8.007e-05,5.44984
4600,107.015,0.201952,0.34554,0.0462556,2.75685,7.91758e-05,5.78266
4700,106.44,0.199219,0.340594,0.0433316,2.71671,7.82677e-05,5.84448
4800,105.594,0.202288,0.344739,0.0459465,2.75831,7.7346e-05,5.93608
4900,105.077,0.19809,0.346313,0.0462783,2.7198,7.64112e-05,5.62406
5000,104.995,0.200104,0.350527,0.0458339,2.74793,7.54639e-05,5.8136
5100,104.685,0.200126,0.347856,0.0444374,2.74141,7.45045e-05,5.37631
5200,104.852,0.199929,0.350111,0.0460214,2.74554,7.35335e-05,5.41217
5300,105.174,0.196555,0.347017,0.0459816,2.70556,7.25514e-05,5.45893
5400,104.979,0.196106,0.34228,0.0445036,2.69012,7.15589e-05,5.17386
5500,105.356,0.199988,0.349529,0.0451526,2.74409,7.05562e-05,5.65326
5600,106.205,0.195929,0.345098,0.0450301,2.69451,6.95441e-05,5.97747
5700,105.403,0.19306,0.341057,0.0437468,2.65646,6.85231e-05,5.94238
5800,105.401,0.198805,0.348751,0.0442508,2.7298,6.74936e-05,5.04051
5900,105.346,0.195159,0.344009,0.0442732,2.68388,6.64562e-05,5.6087
6000,77.5453,0.195043,0.344054,0.0444905,2.68303,6.54115e-05,6.16314
6000,,,,,,,
6100,66.5662,0.19242,0.33965,0.0431469,2.64664,6.436e-05,5.53245
6200,107.728,0.198474,0.339838,0.0434266,2.70784,6.33022e-05,6.34813
6300,106.664,0.197906,0.343243,0.0439665,2.70951,6.22388e-05,5.26738
6400,105.998,0.196791,0.342405,0.0441902,2.69691,6.11703e-05,4.83656
6500,105.387,0.198411,0.343793,0.0452748,2.71697,6.00972e-05,5.3504
6600,102.187,0.197475,0.338288,0.0449022,2.69623,5.90201e-05,5.60587
6700,105.642,0.194598,0.334532,0.0426941,2.65773,5.79396e-05,5.44494
6800,104.665,0.193859,0.341329,0.0439569,2.66521,5.68562e-05,5.86712
6900,105.253,0.193916,0.337221,0.0436599,2.65726,5.57705e-05,5.97339
7000,105.105,0.193707,0.342204,0.0432517,2.66473,5.46831e-05,5.88907
7100,105.187,0.197888,0.335815,0.045544,2.69606,5.35946e-05,5.38653
7200,104.793,0.194141,0.334256,0.0435876,2.65351,5.25054e-05,5.3098
7300,104.697,0.196907,0.343626,0.0445104,2.70083,5.14163e-05,5.32333
7400,104.508,0.192881,0.333948,0.0437069,2.64041,5.03278e-05,5.31486
7500,105.643,0.191809,0.330818,0.04352,2.62325,4.92404e-05,5.35238
7600,104.349,0.198386,0.342354,0.0448078,2.71337,4.81547e-05,5.34556
7700,105.497,0.195172,0.335049,0.0449916,2.66681,4.70713e-05,5.39187
7800,104.821,0.192802,0.331585,0.0432925,2.63448,4.59907e-05,nan
7900,105.026,0.195341,0.337725,0.0450316,2.6739,4.49136e-05,5.65708
8000,98.5501,0.198312,0.338083,0.0428653,2.70215,4.38404e-05,5.56499
8000,,,,,,,
8100,71.1332,0.191023,0.333434,0.0433211,2.62042,4.27718e-05,4.86476
8200,104.665,0.191942,0.340199,0.0436006,2.64342,4.17084e-05,4.93548
8300,105.584,0.191739,0.329679,0.043101,2.61985,4.06506e-05,5.59037
8400,105.137,0.195698,0.341565,0.0453593,2.68547,3.9599e-05,5.31746
8500,70.3987,0.195153,0.337626,0.0444307,3.13016,3.85542e-05,5.5899
8600,74.2933,0.192581,0.341204,0.0449503,3.12105,3.75168e-05,nan
8700,74.1366,0.194966,0.339971,0.0440832,3.14423,3.64872e-05,5.69508
8800,74.2519,0.19179,0.336007,0.0443679,3.10668,3.5466e-05,5.96466
8900,73.6417,0.191362,0.338749,0.0440601,3.108,3.44538e-05,5.50118
9000,74.1121,0.188188,0.336123,0.0418727,3.0713,3.34511e-05,5.77115
9100,73.7217,0.195982,0.338009,0.044033,3.15604,3.24584e-05,5.1471
9200,65.0756,0.193851,0.341366,0.0436952,3.14259,3.14763e-05,5.1067
9300,63.6184,0.194188,0.341937,0.043993,3.148,3.05052e-05,5.37036
9400,75.0411,0.192186,0.341405,0.043355,3.12828,2.95456e-05,5.33374
9500,58.6016,0.191003,0.331204,0.0427593,3.09794,2.85982e-05,5.96754
9600,75.1636,0.191707,0.331469,0.0435317,3.10719,2.76633e-05,5.41025
